Nom,Arrondissement,Cle,Date,Ouvert,Deblaye,Condition,Id,Type,Adresse,Propriété,Gestion,Point_x,Point_y,Equipement,Longitude,Latitude,Arrose,resurface
"Aire de glissade, Ahuntsic",Ahuntsic - Cartierville,ahc,2022-03-06 12:13:43,,0.0,Mauvaise,,,,,,,,,,,,
"Aire de glissade, Des Hirondelles",Ahuntsic - Cartierville,ahc,2022-03-06 12:13:43,,0.0,Mauvaise,,,,,,,,,,,,
"Aire de glissade ,Don-Bosco",Rivière-des-Prairies - Pointe-aux-Trembles,rdp,2022-03-04 03:47:41,,,Mauvaise,,,,,,,,,,,,
"Aire de glissade, Du Pélican",Rosemont - La Petite-Patrie,rpp,2022-03-18 18:39:14,,,Mauvaise,,,,,,,,,,,,
"Aire de glissade, Ignace-Bourget",Le Sud-Ouest,sou,2022-03-11 03:14:27,1.0,0.0,N/A,,,,,,,,,,,,
"Aire de glissade, Joseph-Paré",Rosemont - La Petite-Patrie,rpp,2022-03-18 18:39:14,,,Mauvaise,,,,,,,,,,,,
"Aire de glissade, Le Ber",Le Sud-Ouest,sou,2022-03-11 03:14:27,1.0,0.0,N/A,,,,,,,,,,,,
"Aire de glissade, Mont-Royal",Ville-Marie,vma,2022-03-16 15:37:30,0.0,0.0,N/A,,,,,,,,,,,,
"Glissade, Parc Arthur-Therrien",Verdun,ver,2022-03-12 10:17:18,1.0,1.0,Excellente,,,,,,,,,,,,
"Glissade, Parc Beaubien",Outremont,out,2022-03-11 10:19:47,1.0,,Bonne,,,,,,,,,,,,
"Aire de glissade, Parc Confédération",Côte-des-Neiges - Notre-Dame-de-Grâce,cdn,2022-03-13 12:30:47,0.0,0.0,N/A,,,,,,,,,,,,
"Aire de glissade, parc Coubertin",Saint-Léonard,sle,2022-02-24 06:43:20,1.0,,Mauvaise,,,,,,,,,,,,
"Aire de glissade, parc Delorme",Saint-Léonard,sle,2022-02-24 06:43:20,1.0,,Mauvaise,,,,,,,,,,,,
"Aire de glissade , Parc des rapides",LaSalle,lsl,2022-03-15 13:44:59,,0.0,N/A,,,,,,,,,,,,
"Glissade, Parc du Bois-Franc",Saint-Laurent,sla,2022-03-05 05:55:27,0.0,0.0,N/A,,,,,,,,,,,,
"Aire de glissade, parc Ferland",Saint-Léonard,sle,2022-02-24 06:43:20,1.0,,Mauvaise,,,,,,,,,,,,
"Aire de glissade, Parc Grovehill",Lachine,lch,2022-03-07 10:12:31,0.0,0.0,N/A,,,,,,,,,,,,
"Glissade, Parc Hartenstein",Saint-Laurent,sla,2022-03-05 05:55:27,0.0,0.0,N/A,,,,,,,,,,,,
"Aire de glissade, Parc Hayward",LaSalle,lsl,2022-03-15 13:44:59,,0.0,N/A,,,,,,,,,,,,
